F1 Score,Recall,Precision,Accuracy,Average Error,MSE,RMSE,Elapsed Time
0.006615461,0.009067613,0.007627074,0.009067613,18.96912286,429.6703542,20.33412158,1.96895957
0.01348953,0.017346738,0.018653155,0.017346738,18.77403802,428.7960807,20.3082253,1.948438406
0.009031503,0.010841711,0.014810475,0.010841711,22.37741368,576.861809,23.73857906,2.026530743
0.027586542,0.034102109,0.049249492,0.034102109,14.70076276,347.205224,16.47561637,1.952780247
0.084950438,0.08101715,0.139250778,0.08101715,6.297434841,68.0794675,8.243563137,1.969940662
0.148578353,0.133057363,0.260500968,0.133057363,9.447741206,143.0881473,11.9601806,1.938633919
0.307170198,0.27143702,0.498063469,0.27143702,5.291601154,63.02130496,7.824837209,1.889862776
0.377649646,0.335501676,0.57889441,0.335501676,4.420302244,43.00993832,6.539955587,1.881072521
0.528973117,0.48925685,0.705347312,0.48925685,4.35369763,62.75711898,7.819611846,1.914984226
0.662774226,0.623102701,0.814010574,0.623102701,3.217381984,29.43309131,5.381918358,1.88785243
0.730743767,0.683224916,0.88314129,0.683224916,2.935499425,55.14378477,6.97794443,1.905171156
0.828639105,0.801498127,0.907341912,0.801498127,1.874664387,24.57658913,4.953946982,1.914870739
0.902441143,0.894342598,0.940547379,0.894342598,1.410548259,14.96130525,3.741534235,1.919520617
0.92371992,0.91701163,0.951313474,0.91701163,1.522836849,23.37273769,4.436275401,1.926265001
0.944262705,0.939680662,0.965162129,0.939680662,0.74657112,7.993148882,2.766437211,1.925933123
0.948807566,0.947959787,0.965837308,0.947959787,0.58597056,6.091163979,2.399505964,1.919336796
0.95565012,0.954859058,0.970542353,0.954859058,0.63261121,9.863713102,3.019538174,1.949579477
0.954548452,0.955647546,0.967029912,0.955647546,0.377150033,3.412169354,1.771562367,1.957134247
0.95612984,0.9570274,0.96964766,0.9570274,0.34484516,3.166280142,1.648477623,1.949793816
0.957381378,0.95801301,0.970026333,0.95801301,0.409857844,5.067772491,2.050400106,1.963892937
0.955211432,0.956633156,0.967529639,0.956633156,0.275485906,1.412066261,1.110089868,1.981809855
0.958351075,0.959392864,0.969690886,0.959392864,0.312681365,2.044201251,1.373804076,1.969207764
0.957825724,0.95899862,0.968925089,0.95899862,0.296293972,1.911917056,1.282488969,1.977587223
0.958897189,0.95998423,0.970133811,0.95998423,0.276379258,2.051765207,1.295357135,1.94124341
0.957395719,0.958604376,0.968870369,0.958604376,0.342210347,2.623920463,1.470568723,1.953249693
0.958044611,0.95899862,0.969760474,0.95899862,0.307051807,2.077751637,1.274755893,1.902099371
0.959423375,0.960575596,0.970866215,0.960575596,0.318378105,2.299594972,1.309241435,1.916768789
0.959871783,0.960181352,0.971467903,0.960181352,0.298607446,1.689908362,1.11173669,1.923992634
0.957341003,0.959195742,0.968630322,0.959195742,0.263349285,1.434549593,1.143472452,1.902983665
0.959164503,0.959787108,0.971677904,0.959787108,0.306238222,1.939710988,1.263094815,1.924054384
0.95937454,0.960575596,0.970373711,0.960575596,0.322345472,2.232362029,1.318379389,1.915246248
0.958520159,0.959589986,0.970129389,0.959589986,0.360504725,2.621910888,1.349872127,1.925295353
0.960402213,0.961166962,0.972430944,0.961166962,0.299142389,1.696409082,1.05437416,1.987650633
0.960905158,0.96195545,0.97204167,0.96195545,0.351325398,2.602604047,1.401472036,1.927872181
0.957945168,0.959195742,0.969071292,0.959195742,0.332293516,2.439029577,1.390505273,1.963966846
0.956957471,0.958407254,0.969769811,0.958407254,0.39261216,3.027028813,1.499288259,1.93321085
0.955411953,0.956436034,0.967937465,0.956436034,0.434935081,3.589184069,1.45572319,1.982592583
0.9574069,0.959195742,0.968240652,0.959195742,0.281692278,1.631716745,1.053990082,1.967115641
0.956156619,0.957815888,0.966929688,0.957815888,0.341022033,2.2541663,1.22239263,1.951033592
0.96073829,0.96195545,0.971142176,0.96195545,0.32787735,2.078248891,1.164960002,1.998251677
0.956236674,0.957815888,0.967102037,0.957815888,0.349398163,2.325049197,1.399453289,1.964107513
0.95815297,0.959589986,0.968805085,0.959589986,0.280757915,1.438258877,0.989950931,1.957402945
0.956427427,0.957815888,0.968041193,0.957815888,0.395147849,2.905526772,1.340599481,2.082536459
0.954571427,0.956436034,0.965529306,0.956436034,0.355005811,2.235595207,1.261308393,1.978872538
0.957070558,0.959195742,0.966941764,0.959195742,0.319613255,1.63694393,1.101210565,1.995741129
0.953254446,0.954859058,0.965107568,0.954859058,0.386077825,2.343720445,1.26027358,1.979173899
0.955792497,0.957421644,0.966775853,0.957421644,0.356402293,2.025300026,1.176581103,1.987201691
0.954743199,0.956633156,0.966447772,0.956633156,0.339757413,1.805239816,1.067255431,1.969754696
0.954549704,0.956830278,0.964916759,0.956830278,0.372115588,2.317807149,1.240350431,1.979771614
0.955689987,0.957224522,0.967892204,0.957224522,0.368799473,2.289843452,1.293280145,1.979753494
0.955389578,0.956830278,0.967779574,0.956830278,0.359699259,2.015777895,1.14812365,1.949779034
0.954114574,0.95604179,0.96494237,0.95604179,0.360428112,2.23753899,1.269661638,2.049742746
0.949796198,0.951507983,0.962305902,0.951507983,0.322925006,1.696548007,1.068283403,2.039779425
0.951103822,0.952493594,0.964459671,0.952493594,0.366361951,2.349799395,1.301885233,2.039785147
0.947194053,0.948156909,0.960532797,0.948156909,0.427123074,2.949432255,1.397020758,2.059762716
0.955405846,0.9570274,0.966628796,0.9570274,0.366451677,2.229367639,1.212844497,1.98975563
0.958331311,0.95998423,0.969264791,0.95998423,0.292803358,1.718186624,1.099447185,2.00975132
0.958182812,0.959589986,0.969828706,0.959589986,0.31762324,2.059955943,1.140270791,2.019768476
0.958314058,0.959787108,0.969377651,0.959787108,0.305027953,1.925486533,1.208939896,1.969754457
0.951081066,0.952493594,0.964698939,0.952493594,0.335635818,2.244279672,1.257698847,2.05972743
0.957418716,0.958801498,0.969030369,0.958801498,0.323350265,1.972605516,1.144942172,2.009737253
0.957244684,0.95899862,0.967515111,0.95899862,0.319382004,1.812424002,1.171223396,1.99977541
0.959249062,0.960575596,0.970468692,0.960575596,0.310282266,1.903050783,1.180451814,2.00978756
0.95615283,0.957815888,0.967929909,0.957815888,0.32641387,2.139312127,1.220792195,1.97975564
0.949834649,0.951705105,0.962343839,0.951705105,0.268148528,1.552937116,1.121640162,2.069743395
0.954838257,0.956830278,0.966888781,0.956830278,0.301170835,1.579689547,1.053539213,2.029823542
0.957161893,0.958604376,0.9683874,0.958604376,0.301214736,1.767785708,1.161466649,2.029781103
0.95772181,0.959392864,0.968856949,0.959392864,0.327276492,1.858918847,1.16053419,2.029762506
0.956667243,0.958210132,0.968435129,0.958210132,0.320284604,1.87779217,1.148592524,2.009765387
0.956311996,0.95801301,0.967453676,0.95801301,0.318420685,1.78682439,1.136632998,2.049746037
0.955338551,0.956830278,0.967766471,0.956830278,0.390854492,2.577985432,1.38126057,2.019774199
0.955957681,0.957815888,0.967854156,0.957815888,0.304797843,1.745913296,1.100819736,2.109250307
0.956599664,0.958407254,0.967517132,0.958407254,0.31299539,1.732999971,1.134458401,2.069747686
0.954662111,0.956436034,0.96634114,0.956436034,0.31459046,1.684971363,1.117539209,2.069745064
0.955292186,0.9570274,0.967418427,0.9570274,0.337508372,2.025632508,1.166006777,2.009886265
0.956908575,0.958604376,0.968283488,0.958604376,0.291862082,1.60135871,1.075831795,2.069744349
0.955820689,0.957618766,0.96724677,0.957618766,0.306802935,1.636740976,1.075706769,2.03976965
0.956570702,0.958407254,0.967432727,0.958407254,0.310664505,1.756769759,1.08377402,2.119735956
0.955384071,0.957224522,0.966525748,0.957224522,0.316276666,1.685273005,1.14267234,2.069798946
0.955823577,0.957618766,0.967381047,0.957618766,0.318668565,1.786417305,1.12109996,2.049765348
0.954251377,0.95604179,0.966155221,0.95604179,0.343432207,2.235275648,1.213376383,2.059771538
0.954265239,0.95604179,0.966514578,0.95604179,0.330552129,1.907308427,1.191388798,2.039746523
0.956410322,0.958210132,0.967789456,0.958210132,0.332655529,2.013639087,1.160516338,2.049734592
0.958182564,0.959589986,0.969782874,0.959589986,0.338908352,2.294674714,1.281013628,2.059785843
0.95499284,0.956830278,0.967424237,0.956830278,0.306160784,1.602549711,1.078387511,2.069744825
0.953788987,0.955647546,0.965263249,0.955647546,0.338728838,1.93241754,1.171218237,2.059766769
0.955299316,0.957224522,0.966286833,0.957224522,0.325321426,1.909477193,1.213134405,2.079743862
0.955210961,0.9570274,0.966461504,0.9570274,0.347567052,2.128249185,1.202682553,2.069743872
0.95395413,0.955450424,0.966545302,0.955450424,0.32710749,1.795433372,1.176405366,2.049763203
0.95603294,0.958210132,0.96677695,0.958210132,0.331148718,2.002844303,1.169359156,2.089738607
0.955853515,0.957224522,0.968466994,0.957224522,0.310965643,1.712862807,1.115019256,2.059254169
0.955927754,0.957815888,0.967157994,0.957815888,0.357622549,2.235238934,1.232561189,2.069782019
0.95548835,0.957421644,0.966537474,0.957421644,0.325119753,1.954197727,1.27702731,2.049744606
0.954279979,0.956238912,0.966195723,0.956238912,0.340674592,2.024383059,1.157332348,2.079770565
0.954736661,0.956436034,0.967385433,0.956436034,0.334145002,1.962838429,1.191462873,2.069769382
0.956138838,0.957815888,0.967320876,0.957815888,0.35835752,2.214674714,1.205383349,2.049754858
0.954897426,0.956633156,0.96678694,0.956633156,0.33102851,1.87864129,1.205553239,2.059746265
0.957210429,0.958604376,0.969030296,0.958604376,0.360043277,2.367756337,1.351210309,2.02974987
0.956018221,0.957618766,0.967508887,0.957618766,0.367323352,2.419026933,1.362045917,2.039772034
0.953400044,0.955253302,0.965691768,0.955253302,0.370336342,2.26823773,1.246618546,2.049790144
0.953959685,0.955647546,0.965791721,0.955647546,0.37490111,2.354400388,1.247007262,2.079271793
0.956905804,0.958407254,0.968648007,0.958407254,0.350336082,2.280864981,1.32303513,2.04975605
0.955455169,0.957224522,0.966363734,0.957224522,0.35601463,2.292315916,1.328356194,2.099739075
0.956668333,0.958407254,0.967696309,0.958407254,0.384364791,2.714561635,1.454970766,2.059762001
0.955411488,0.956830278,0.967464428,0.956830278,0.331844955,1.949255147,1.268785139,2.069780111
0.954260579,0.956238912,0.965106786,0.956238912,0.357309448,2.233065762,1.311376949,2.049785137
0.955677762,0.957421644,0.966428442,0.957421644,0.363134186,2.38865392,1.340055575,2.029805899
0.954638004,0.956436034,0.965429294,0.956436034,0.384699144,2.554655623,1.402262701,2.059730768
0.951618415,0.95308496,0.963345587,0.95308496,0.373271421,2.495545276,1.450160792,2.069782019
0.95446697,0.956238912,0.965831714,0.956238912,0.368147414,2.231860663,1.348727204,2.069746971
0.954445219,0.956436034,0.965215985,0.956436034,0.379566432,2.438860693,1.361667823,2.02975297
0.953107251,0.954661936,0.964873447,0.954661936,0.351196981,2.074694393,1.303570612,2.069747925
0.953473329,0.95505618,0.964901324,0.95505618,0.385225125,2.522920668,1.424259409,2.049799919
