max_depth,n_learner,f1_score,elapsed_time,total_score
78,34,0.953319832,3.961862803,0.835701204
13,48,0.372762876,5.610858202,0.303654294
5,14,0.028683895,1.665263414,0.007031261
22,13,0.601118436,1.532122374,0.563797212
34,7,0.754383817,0.839161158,0.711992205
20,2,0.383242485,0.239975452,0.360842731
75,46,0.95661223,5.306607485,0.828546155
53,20,0.953268756,2.3457582,0.876811174
15,1,0.199112737,0.120026588,0.182912471
68,27,0.952515474,3.210247755,0.852412996
25,41,0.761172773,4.815891504,0.688013858
17,1,0.239090208,0.11998558,0.220890352
56,8,0.952716385,0.929176569,0.88742462
36,38,0.854941727,4.474572897,0.774195998
24,41,0.711399451,4.812992096,0.63926953
91,26,0.943769733,3.086876869,0.821900964
75,22,0.952148815,2.580344915,0.851345366
72,35,0.952537172,4.112812042,0.839409052
46,50,0.94915673,5.895032883,0.844206401
65,15,0.948941012,1.764909983,0.866291913
75,22,0.952148815,2.641377211,0.850735043
75,22,0.952148815,2.704820156,0.850100613
75,34,0.956007138,4.07902813,0.840216856
56,22,0.955595326,2.582809448,0.873767232
56,8,0.952716385,0.950901031,0.887207375
56,22,0.955595326,2.599675894,0.873598567
56,20,0.955442844,2.38988328,0.875544011
56,8,0.952716385,0.909955263,0.887616833
6,22,0.071857906,2.539701223,0.040460894
75,43,0.956600222,4.97941637,0.831806059
26,22,0.772441766,2.559692621,0.720844839
75,22,0.952148815,2.579658031,0.851352235
56,8,0.952716385,0.919906378,0.887517321
56,8,0.952716385,0.939890862,0.887317477
75,14,0.948830467,1.639784336,0.857432624
5,22,0.030241683,2.599727631,-0.000755594
5,31,0.040083439,3.609591484,-0.001012476
75,22,0.952148815,2.579739809,0.851351417
75,14,0.948830467,1.649798632,0.857332481
5,22,0.030241683,2.5596838,-0.000355155
75,22,0.952148815,2.579677105,0.851352044
5,14,0.028683895,1.639799118,0.007285904
75,22,0.952148815,2.579771996,0.851351095
75,22,0.952148815,2.569693565,0.851451879
75,22,0.952148815,2.569676161,0.851452053
5,14,0.028683895,1.60979867,0.007585909
75,41,0.955949183,4.739458799,0.833554595
75,22,0.952148815,2.589803696,0.851250778
56,8,0.952716385,0.949880362,0.887217582
5,17,0.037051155,2.069730997,0.011353845
56,8,0.952716385,0.929895639,0.887417429
56,8,0.952716385,0.929873705,0.887417648
5,22,0.030241683,2.569669247,-0.00045501
56,31,0.954822988,3.579615355,0.863026835
56,8,0.952716385,0.969450474,0.887021881
56,8,0.952716385,0.949887276,0.887217512
5,31,0.040083439,3.669613123,-0.001612692
5,31,0.040083439,3.649547815,-0.001412039
56,22,0.955595326,2.61966157,0.87339871
56,8,0.952716385,0.959899664,0.887117389
81,22,0.945217985,2.569679499,0.83852119
5,31,0.040083439,3.639576912,-0.00131233
5,31,0.040083439,3.639529467,-0.001311856
5,31,0.040083439,3.59961915,-0.000912753
56,48,0.955484133,5.649331093,0.842990822
5,8,0.026605254,0.949884415,0.01210641
56,8,0.952716385,0.929888248,0.887417503
56,8,0.952716385,0.939890862,0.887317477
56,8,0.952716385,0.92989707,0.887417415
7,2,0.031854415,0.239973545,0.022454679
5,8,0.026605254,0.939888239,0.012206372
56,31,0.954822988,3.569568872,0.8631273
5,31,0.040083439,3.609537363,-0.001011935
56,8,0.952716385,0.979885817,0.886917527
61,31,0.954505013,3.58954978,0.857609516
41,8,0.85145262,0.929899454,0.801153626
56,8,0.952716385,0.929886103,0.887417524
56,8,0.952716385,0.939869404,0.887317691
56,8,0.952716385,0.94941926,0.887222193
56,8,0.952716385,0.949871778,0.887217667
56,8,0.952716385,0.929889917,0.887417486
56,8,0.952716385,0.93993187,0.887317067
56,8,0.952716385,0.929886103,0.887417524
56,8,0.952716385,0.939889193,0.887317493
56,8,0.952716385,0.959878683,0.887117598
56,8,0.952716385,0.929902077,0.887417364
56,8,0.952716385,0.939893961,0.887317446
89,8,0.94866229,0.969889879,0.849963392
77,8,0.951703341,0.929904938,0.865404291
56,8,0.952716385,0.92988801,0.887417505
56,8,0.952716385,0.929904938,0.887417336
56,8,0.952716385,0.929873466,0.887417651
56,8,0.952716385,0.959898233,0.887117403
56,4,0.947278826,0.47995162,0.88647931
56,8,0.952716385,0.969884157,0.887017544
56,8,0.952716385,0.949886084,0.887217524
56,8,0.952716385,0.929873705,0.887417648
46,8,0.907331984,0.92986989,0.852033285
86,5,0.949376332,0.589931726,0.857477014
56,8,0.952716385,0.929904938,0.887417336
56,8,0.952716385,0.959905386,0.887117331
56,8,0.952716385,0.939887047,0.887317515
73,32,0.953119811,3.729535341,0.842824457
56,8,0.952716385,0.92990613,0.887417324
56,8,0.952716385,0.949881077,0.887217574
39,8,0.807725304,0.94990921,0.759226212
56,8,0.952716385,0.9398911,0.887317474
56,8,0.952716385,0.959869146,0.887117694
52,8,0.950882544,0.939913511,0.889483409
56,8,0.952716385,0.929888248,0.887417503
56,8,0.952716385,0.959887505,0.88711751
56,8,0.952716385,0.939882278,0.887317562
56,8,0.952716385,0.929896593,0.887417419
56,8,0.952716385,0.949942112,0.887216964
56,8,0.952716385,0.95988512,0.887117534
56,33,0.954992717,3.909597874,0.859896739
56,8,0.952716385,0.959958076,0.887116804
56,8,0.952716385,0.959867477,0.88711771
56,8,0.952716385,0.949883223,0.887217553
56,8,0.952716385,0.939885378,0.887317531
56,8,0.952716385,0.959877253,0.887117613
56,8,0.952716385,0.959894657,0.887117439
56,8,0.952716385,0.949898243,0.887217403
56,8,0.952716385,0.959873676,0.887117648
56,8,0.952716385,0.949889421,0.887217491
56,8,0.952716385,0.939889669,0.887317489
56,8,0.952716385,0.93988657,0.88731752
56,8,0.952716385,0.949970007,0.887216685
56,8,0.952716385,0.959880829,0.887117577
56,8,0.952716385,0.969865322,0.887017732
79,8,0.950192169,0.939887524,0.861793293
56,8,0.952716385,0.949883699,0.887217548
59,8,0.955951441,0.9299016,0.887652425
56,8,0.952716385,0.95988822,0.887117503
56,8,0.952716385,0.919906616,0.887517319
56,8,0.952716385,0.949944973,0.887216936
56,8,0.952716385,0.939863682,0.887317748
56,8,0.952716385,0.929888964,0.887417496
56,8,0.952716385,0.939889669,0.887317489
56,8,0.952716385,0.939889431,0.887317491
56,8,0.952716385,0.959890842,0.887117477
61,8,0.943529726,0.959939957,0.872930327
56,8,0.952716385,0.949872494,0.88721766
56,8,0.952716385,0.939883947,0.887317546
91,8,0.950613041,0.939950705,0.850213533
56,8,0.952716385,0.949887753,0.887217508
56,8,0.952716385,0.93990159,0.887317369
56,32,0.954450531,3.689609528,0.861554436
52,8,0.950882544,0.949892759,0.889383617
56,8,0.952716385,0.939890146,0.887317484
56,8,0.952716385,0.979887962,0.886917506
56,8,0.952716385,0.939869642,0.887317689
56,8,0.952716385,0.92986846,0.887417701
52,8,0.950882544,0.949887991,0.889383664
56,8,0.952716385,0.939960718,0.887316778
52,8,0.950882544,0.989873409,0.88898381
56,8,0.952716385,0.979880333,0.886917582
56,8,0.952716385,0.939889431,0.887317491
56,8,0.952716385,0.91988802,0.887517505
56,8,0.952716385,0.959881544,0.88711757
52,8,0.950882544,0.939894438,0.8894836
52,8,0.950882544,0.949905634,0.889383488
52,8,0.950882544,0.959901094,0.889283533
52,8,0.950882544,0.949889183,0.889383652
52,8,0.950882544,0.939885855,0.889483686
52,8,0.950882544,0.949887514,0.889383669
52,38,0.953759003,4.349539042,0.858263613
52,8,0.950882544,0.94988513,0.889383693
52,10,0.949701997,1.189855337,0.885803444
52,8,0.950882544,0.969882727,0.889183717
52,8,0.950882544,0.949910879,0.889383435
52,4,0.936368308,0.44994998,0.879868808
52,8,0.950882544,0.939887285,0.889483671
52,8,0.950882544,0.949887991,0.889383664
56,8,0.952716385,0.959892511,0.88711746
52,8,0.950882544,0.969881773,0.889183726
84,38,0.945808239,4.389465809,0.817913581
56,8,0.952716385,0.959893942,0.887117446
25,8,0.586045529,0.909886599,0.551946663
56,8,0.952716385,0.959891796,0.887117467
52,8,0.950882544,0.959878206,0.889283762
56,8,0.952716385,0.949861765,0.887217768
6,8,0.036812889,0.949909449,0.021313795
55,8,0.949862184,0.929909468,0.885563089
52,8,0.950882544,0.959942579,0.889283118
56,8,0.952716385,0.939889431,0.887317491
52,8,0.950882544,0.959886551,0.889283679
56,25,0.955872565,2.87968564,0.871075709
87,8,0.953006225,0.949906588,0.856507159
56,8,0.952716385,0.939888954,0.887317496
52,8,0.950882544,0.959883451,0.88928371
56,25,0.955872565,2.869624615,0.871176319
56,37,0.954296035,4.25944972,0.855701538
56,8,0.952716385,0.959877729,0.887117608
52,8,0.950882544,0.949870586,0.889383838
56,4,0.947278826,0.499965906,0.886279167
52,25,0.954494303,2.929656506,0.873197738
56,4,0.947278826,0.479928732,0.886479539
52,4,0.936368308,0.479963541,0.879568672
56,8,0.952716385,0.939884424,0.887317541
56,8,0.952716385,0.939879417,0.887317591
52,8,0.950882544,0.929903746,0.889583507
52,8,0.950882544,0.959866047,0.889283884
56,48,0.955484133,5.559355497,0.843890578
56,8,0.952716385,0.999864101,0.886717744
91,8,0.950613041,0.959891796,0.850014123
52,8,0.950882544,0.949883461,0.88938371
52,8,0.950882544,0.939902306,0.889483521
56,8,0.952716385,0.949869633,0.887217689
56,8,0.952716385,0.959941626,0.887116969
56,8,0.952716385,0.949881315,0.887217572
52,22,0.953911769,2.589733839,0.876014431
15,8,0.402002386,0.939885139,0.377603535
56,8,0.952716385,0.959951639,0.887116869
52,8,0.950882544,0.959885359,0.889283691
52,8,0.950882544,0.949887991,0.889383664
52,8,0.950882544,0.939900875,0.889483535
56,8,0.952716385,0.949884653,0.887217539
56,21,0.955375164,2.41972065,0.875177957
56,8,0.952716385,0.949871063,0.887217675
52,15,0.953077568,1.789774179,0.883179827
52,3,0.91282594,0.349960804,0.857326332
56,8,0.952716385,0.979919672,0.886917189
52,8,0.950882544,0.949903011,0.889383514
56,39,0.956560516,4.559472799,0.854965788
56,8,0.952716385,0.969911098,0.887017274
56,8,0.952716385,0.949887753,0.887217508
56,8,0.952716385,0.949889898,0.887217486
52,8,0.950882544,0.959921837,0.889283326
52,8,0.950882544,0.939906597,0.889483478
56,8,0.952716385,0.949906588,0.887217319
56,8,0.952716385,0.939889908,0.887317486
53,8,0.95072089,0.949888706,0.888222003
52,8,0.950882544,0.94988513,0.889383693
52,8,0.950882544,0.939886332,0.889483681
56,8,0.952716385,0.949893713,0.887217448
52,8,0.950882544,0.93987298,0.889483814
52,8,0.950882544,0.939889669,0.889483647
56,8,0.952716385,0.939888239,0.887317503
56,8,0.952716385,0.969944477,0.88701694
52,8,0.950882544,0.949962854,0.889382916
56,8,0.952716385,0.969883204,0.887017553
56,8,0.952716385,0.94988203,0.887217565
56,8,0.952716385,0.949867964,0.887217706
11,8,0.189315619,0.92986989,0.16901692
56,8,0.952716385,0.939888954,0.887317496
56,8,0.952716385,0.939893723,0.887317448
56,8,0.952716385,0.939904213,0.887317343
56,8,0.952716385,0.949955463,0.887216831
56,8,0.952716385,0.949869156,0.887217694
90,9,0.950705639,1.089862585,0.849807014
56,8,0.952716385,0.939893246,0.887317453
56,8,0.952716385,0.949905396,0.887217331
56,8,0.952716385,0.939925432,0.887317131
55,8,0.949862184,0.979882956,0.885063354
56,8,0.952716385,0.949889183,0.887217493
56,8,0.952716385,0.949896097,0.887217424
57,8,0.952955115,0.949421644,0.886460899
56,8,0.952716385,0.959862947,0.887117756
52,8,0.950882544,0.959886551,0.889283679
56,8,0.952716385,0.959870577,0.887117679
56,28,0.955862195,3.219586611,0.867666329
56,8,0.952716385,0.939877272,0.887317613
56,30,0.955309094,3.469546556,0.864613629
56,8,0.952716385,0.92988658,0.887417519
52,8,0.950882544,0.949873209,0.889383812
56,8,0.952716385,0.989886522,0.88681752
52,34,0.954601868,4.053426504,0.862067603
56,8,0.952716385,0.959888697,0.887117498
56,8,0.952716385,0.959901333,0.887117372
28,8,0.674903599,0.949903488,0.637404564
52,8,0.950882544,0.959885597,0.889283688
52,8,0.950882544,0.939881563,0.889483729
52,8,0.950882544,0.959911108,0.889283433
52,8,0.950882544,0.95988822,0.889283662
56,8,0.952716385,0.979860783,0.886917777
56,8,0.952716385,0.959923744,0.887117148
56,8,0.952716385,0.929887056,0.887417515
91,8,0.950613041,0.989922762,0.849713813
52,8,0.950882544,0.949877977,0.889383764
52,8,0.950882544,0.959869623,0.889283848
52,8,0.950882544,0.93993187,0.889483225
56,8,0.952716385,0.989855289,0.886817832
56,8,0.952716385,0.949894428,0.887217441
56,8,0.952716385,0.919901371,0.887517372
52,19,0.95458413,2.279711485,0.879787015
56,8,0.952716385,0.959893703,0.887117448
56,8,0.952716385,0.959876776,0.887117617
56,8,0.952716385,0.939932823,0.887317057
56,8,0.952716385,0.949870825,0.887217677
56,8,0.952716385,0.939875364,0.887317632
56,8,0.952716385,0.949887753,0.887217508
56,8,0.952716385,0.959879637,0.887117589
56,8,0.952716385,0.959899187,0.887117393
56,8,0.952716385,0.949869633,0.887217689
56,8,0.952716385,0.94987154,0.88721767
38,8,0.821840113,0.949878454,0.774341329
56,8,0.952716385,0.959895849,0.887117427
56,8,0.952716385,0.939882994,0.887317555
6,8,0.036812889,0.949884892,0.02131404
56,8,0.952716385,0.949876308,0.887217622
56,8,0.952716385,0.949885368,0.887217532
52,8,0.950882544,0.949943542,0.889383109
38,8,0.821840113,0.939887762,0.774441235
38,8,0.821840113,0.939890623,0.774441207
56,8,0.952716385,0.949907064,0.887217315
38,8,0.821840113,0.949936867,0.774340744
