max_depth,n_learner,f1_score,elapsed_time,total_score
94,72,0.957244905,1.582486153,0.831595182
38,14,0.944754762,0.342507124,0.899904619
73,59,0.959089157,1.438959837,0.857309961
78,66,0.957738275,1.43121767,0.851113922
77,3,0.900717021,0.123874903,0.821239523
115,54,0.958416305,1.080711365,0.821802078
103,42,0.958219013,0.811331272,0.838992388
94,64,0.958027104,1.331238508,0.837402334
87,11,0.952526717,0.310756683,0.859311583
56,61,0.958177495,1.265758276,0.87686233
56,17,0.95284605,0.401477098,0.888816508
140,3,0.902591315,0.124639988,0.760098516
120,39,0.958042261,0.961698532,0.81880829
71,27,0.957033106,0.705849648,0.871916113
86,97,0.958904288,2.090273857,0.831098811
34,78,0.949771777,1.607502222,0.883621732
90,27,0.957286077,0.634708643,0.854591905
28,106,0.940059996,2.140608072,0.869247834
43,45,0.953097759,0.962013483,0.890857489
49,117,0.957310583,2.529084921,0.857728885
42,72,0.957362742,1.534477472,0.884673193
94,61,0.957837961,1.249423742,0.838849486
56,61,0.958177495,1.285696268,0.87646357
94,64,0.958027104,1.365551233,0.836716079
94,78,0.957601818,1.633759022,0.830926638
34,76,0.949238296,1.56112504,0.884015795
34,78,0.949771777,1.592291832,0.88392594
56,61,0.958177495,1.284856796,0.876480359
34,78,0.949771777,1.604403734,0.883683702
34,78,0.949771777,1.621945143,0.883332874
94,72,0.957244905,1.536613703,0.832512631
94,64,0.958027104,1.352511168,0.836976881
119,64,0.958027104,1.361744165,0.811792221
94,64,0.958027104,1.354556084,0.836935982
87,11,0.952526717,0.260269165,0.860321333
94,64,0.958027104,1.349746943,0.837032165
94,64,0.958027104,1.349859238,0.837029919
94,64,0.958027104,1.352655649,0.836973991
87,11,0.952526717,0.259951353,0.86032769
87,11,0.952526717,0.259703875,0.860332639
87,11,0.952526717,0.263126135,0.860264194
38,14,0.944754762,0.318340302,0.900387956
94,64,0.958027104,1.478331566,0.834460473
38,14,0.944754762,0.362684727,0.899501067
56,61,0.958177495,1.29366374,0.87630422
5,61,0.186515565,1.203663826,0.157442288
94,14,0.954764257,0.328814268,0.854187972
38,64,0.954947508,1.341069698,0.890126114
94,64,0.958027104,1.346328974,0.837100525
56,61,0.958177495,1.304373026,0.876090035
38,14,0.944754762,0.325476408,0.900245234
38,14,0.944754762,0.31508255,0.900453111
56,61,0.958177495,1.289362669,0.876390242
94,64,0.958027104,1.358379126,0.836859522
56,61,0.958177495,1.299427748,0.87618894
38,14,0.944754762,0.322191,0.900310942
143,61,0.957837961,1.29341054,0.78896975
56,61,0.958177495,1.302862883,0.876120238
94,83,0.957493112,1.739384651,0.828705419
56,64,0.957944228,1.359042883,0.874763371
56,41,0.958687436,0.882979155,0.885027853
63,61,0.957421523,1.382594585,0.866769631
38,14,0.944754762,0.330025434,0.900154253
56,61,0.958177495,1.35676074,0.87504228
94,61,0.957837961,1.342411995,0.836989721
56,64,0.957944228,1.367868423,0.87458686
38,14,0.944754762,0.328507662,0.900184609
56,28,0.956250009,0.611284733,0.888024315
38,14,0.944754762,0.320284843,0.900349065
94,64,0.958027104,1.365015507,0.836726794
38,14,0.944754762,0.325596094,0.90024284
38,14,0.944754762,0.322518826,0.900304385
38,61,0.954779788,1.160405874,0.893571671
56,14,0.95226711,0.337028742,0.889526536
94,64,0.958027104,1.378543139,0.836456241
63,64,0.956841349,1.363218069,0.866576987
56,55,0.958455193,1.161621094,0.879222771
56,14,0.95226711,0.335539341,0.889556324
56,14,0.95226711,0.33770895,0.889512931
56,14,0.95226711,0.323727846,0.889792553
56,14,0.95226711,0.338143349,0.889504243
56,14,0.95226711,0.285985231,0.890547406
56,14,0.95226711,0.311769247,0.890031725
56,14,0.95226711,0.285501719,0.890557076
56,14,0.95226711,0.310942888,0.890048253
56,14,0.95226711,0.287313223,0.890520846
56,14,0.95226711,0.324205399,0.889783002
56,14,0.95226711,0.29581809,0.890350749
56,14,0.95226711,0.295159578,0.890363919
109,14,0.954764257,0.351268053,0.838738896
56,14,0.95226711,0.285411358,0.890558883
56,115,0.956068332,2.523920059,0.849589931
56,14,0.95226711,0.336696148,0.889533187
56,14,0.95226711,0.338434458,0.889498421
56,14,0.95226711,0.351688385,0.889233343
56,14,0.95226711,0.294574976,0.890375611
56,90,0.956594697,1.842900753,0.863736682
56,111,0.956183078,2.387424946,0.852434579
56,14,0.95226711,0.341116428,0.889444782
21,14,0.831166062,0.319571733,0.803774627
56,14,0.95226711,0.331776857,0.889631573
56,14,0.95226711,0.324616432,0.889774782
56,14,0.95226711,0.355489731,0.889157316
56,14,0.95226711,0.338032246,0.889506465
56,14,0.95226711,0.287171364,0.890523683
56,14,0.95226711,0.331626177,0.889634587
56,14,0.95226711,0.33126545,0.889641801
56,14,0.95226711,0.31482172,0.889970676
56,14,0.95226711,0.290498018,0.89045715
