max_depth,n_learner,f1_score,elapsed_time,total_score
13,48,0.954629349,0.56994009,0.897581499
37,2,0.239666601,0.049995899,0.065416462
2,50,0.950178322,0.549927473,0.906489192
32,37,0.953022089,0.469942808,0.896177401
11,36,0.952469822,0.499953032,0.919417208
92,43,0.954215977,0.539951801,0.824190268
52,23,0.947296075,0.339958429,0.865789508
70,39,0.953581227,0.509932518,0.860025857
64,12,0.913376913,0.189978361,0.762658343
95,4,0.63028255,0.07999301,0.410518041
45,5,0.719084246,0.109987736,0.549851073
30,41,0.953146578,0.50995326,0.885930766
33,37,0.953022089,0.479938507,0.896222025
51,7,0.819363385,0.119985104,0.657247546
44,14,0.928583459,0.209991217,0.807957464
88,29,0.951361151,0.429944992,0.850898291
99,30,0.95164065,0.449962616,0.838392422
84,33,0.953088609,0.469941854,0.84978135
15,16,0.936042992,0.249970436,0.855966035
54,15,0.931782879,0.229986191,0.807039024
51,29,0.951361151,0.399950981,0.88892272
88,7,0.819363385,0.119985104,0.619005988
88,7,0.819363385,0.119986296,0.619245627
51,29,0.951361151,0.389971733,0.888885316
51,50,0.955011049,0.589926958,0.857263053
2,7,0.687070974,0.089990854,0.574258107
11,29,0.951558028,0.409948111,0.92644757
88,29,0.951361151,0.38996768,0.849685917
88,29,0.951361151,0.399949074,0.852493075
88,29,0.951361151,0.40994525,0.849934765
88,7,0.819363385,0.119985819,0.622139502
51,29,0.951361151,0.399950027,0.888101632
88,29,0.951361151,0.419961452,0.851300794
2,50,0.950178322,0.559929371,0.906352267
51,29,0.951361151,0.399950027,0.888021018
11,36,0.952469822,0.479961157,0.918937974
11,29,0.951558028,0.429945946,0.927573152
11,29,0.951558028,0.419944048,0.928891589
51,29,0.951361151,0.399947405,0.889215458
51,22,0.94653955,0.30995965,0.860358243
51,29,0.951361151,0.409965038,0.887872984
27,29,0.951361151,0.429946661,0.911794834
11,29,0.951558028,0.429942608,0.927642926
11,29,0.951558028,0.409947634,0.928267568
51,29,0.951361151,0.399945974,0.888493976
51,29,0.951361151,0.409946442,0.888108172
11,29,0.951558028,0.419938326,0.927402978
51,29,0.951361151,0.429966688,0.886552053
51,8,0.845976853,0.130001783,0.688758498
51,29,0.951361151,0.40994525,0.889573673
51,29,0.951361151,0.41994524,0.886538622
51,30,0.95164065,0.40994668,0.881493491
2,17,0.845211844,0.209975481,0.783039593
51,50,0.955011049,0.599923849,0.864982904
86,29,0.951361151,0.409949064,0.853620429
63,29,0.951361151,0.399948359,0.875573004
2,50,0.950178322,0.569903851,0.907707746
35,29,0.951361151,0.419945478,0.90322194
2,50,0.950178322,0.559930563,0.902697202
2,50,0.950178322,0.569907427,0.901883249
51,50,0.955011049,0.60992384,0.861200842
2,38,0.942184925,0.419945717,0.918454781
65,38,0.953263016,0.469955921,0.86552069
2,50,0.950178322,0.589902639,0.907035804
2,38,0.942184925,0.439940929,0.919761408
2,50,0.950178322,0.53993082,0.90337285
2,21,0.875645812,0.249969721,0.833994332
2,47,0.947861051,0.509914637,0.904441298
51,6,0.781139167,0.12998414,0.613631209
2,50,0.950178322,0.56990695,0.902434057
2,38,0.942184925,0.43994689,0.921526467
2,45,0.947523636,0.499953508,0.911509635
29,50,0.955011049,0.849926472,0.877767975
2,38,0.942184925,0.429945469,0.918827219
2,38,0.942184925,0.439942122,0.916707469
2,43,0.945930465,0.479941845,0.911089346
2,38,0.942184925,0.429942846,0.920563766
2,38,0.942184925,0.41994524,0.91740934
2,50,0.950178322,0.539444447,0.905605118
2,43,0.945930465,0.479938745,0.904665344
2,50,0.950178322,0.569907665,0.90647166
85,50,0.955011049,0.619917393,0.828634027
2,50,0.950178322,0.57990551,0.904794031
2,43,0.945930465,0.469941616,0.908347329
2,43,0.945930465,0.489940166,0.906445889
2,50,0.950178322,0.56991148,0.903071846
2,50,0.950178322,0.539925814,0.898749462
2,50,0.950178322,0.569906712,0.906188248
10,43,0.954995061,0.549911737,0.906213501
2,50,0.950178322,0.549909592,0.907237274
10,43,0.954995061,0.699914217,0.903401537
2,43,0.945930465,0.469919205,0.907354567
2,25,0.901767786,0.279965878,0.881313086
2,43,0.945930465,0.479938269,0.90898429
10,43,0.954995061,0.529950142,0.908539417
10,43,0.954995061,0.539932489,0.906375299
2,43,0.945930465,0.489953041,0.912636899
2,43,0.945930465,0.47993803,0.907894266
10,43,0.954995061,0.55994606,0.907551015
2,43,0.945930465,0.479939699,0.904786635
2,43,0.945930465,0.509914398,0.906581263
7,43,0.95311795,0.529929638,0.913800776
2,43,0.945930465,0.489934683,0.906710474
2,43,0.945930465,0.489934921,0.908919494
2,36,0.94120602,0.39996767,0.921433425
2,43,0.945930465,0.489937305,0.906644533
2,43,0.945930465,0.469954491,0.907912211
